Metric,E1_Baseline,E2_Semantic,E3_Hybrid,E3_vs_E1_Diff,E3_vs_E2_Diff
Overall Accuracy,70.42% (169/240),75.42% (181/240),83.33% (200/240),+12.91%,+7.91%
Macro Precision,75.19%,73.45%,82.29%,+7.10%,+8.84%
Macro Recall,75.24%,78.04%,86.18%,+10.94%,+8.14%
Macro F1-Score,73.75%,74.70%,83.62%,+9.87%,+8.92%
Clear In-Scope Accuracy,81.25% (91/112),86.61% (97/112),93.75% (105/112),+12.50%,+7.14%
Boundary Subset Accuracy,70.00% (42/60),68.33% (41/60),75.00% (45/60),+5.00%,+6.67%
Ambiguous Subset Accuracy,53.33% (16/30),96.67% (29/30),90.00% (27/30),+36.67%,-6.67%
OOS Rejection Accuracy,46.67% (14/30),30.00% (9/30),53.33% (16/30),+6.66%,+23.33%
Robustness Subset Accuracy,75.00% (6/8),62.50% (5/8),87.50% (7/8),+12.50%,+25.00%
Mean Inference Latency (ms),0.61 ms,10.02 ms,10.63 ms,+10.02 ms,+0.61 ms
