intent,precision,recall,f1_score
educational_explanation,0.9,0.75,0.8182
question_answering,0.625,0.5556,0.5882
code_generation,1.0,0.6429,0.7826
code_debugging,0.3333,0.3846,0.3571
code_explanation,0.625,0.9091,0.7407
summarization,0.8333,0.8333,0.8333
translation,0.75,1.0,0.8571
rewriting,0.5,0.7778,0.6087
comparison,0.8125,0.9286,0.8667
data_analysis,0.8889,0.7273,0.8
creative_writing,0.8889,0.6667,0.7619
classification,0.9167,1.0,0.9565
information_extraction,0.7692,1.0,0.8696
problem_solving,1.0,0.5833,0.7368
content_generation,0.5714,0.7273,0.64
other,0.6167,0.5522,0.5827
