intent,e1_f1,e2_f1,e3_f1,e3_vs_e1_diff,e3_vs_e2_diff
educational_explanation,0.8182,0.7826,0.9091,0.0909,0.1265
question_answering,0.5882,0.4211,0.6316,0.0433,0.2105
code_generation,0.7826,0.4375,0.7407,-0.0419,0.3032
code_debugging,0.3571,0.625,0.6,0.2429,-0.025
code_explanation,0.7407,0.6667,0.8333,0.0926,0.1667
summarization,0.8333,0.6,0.8571,0.0238,0.2571
translation,0.8571,0.9231,0.9231,0.0659,0.0
rewriting,0.6087,0.8421,0.8421,0.2334,0.0
comparison,0.8667,0.8571,0.8667,0.0,0.0095
data_analysis,0.8,0.8148,0.9565,0.1565,0.1417
creative_writing,0.7619,1.0,0.9565,0.1946,-0.0435
classification,0.9565,0.8571,0.9565,0.0,0.0994
information_extraction,0.8696,0.72,0.8696,0.0,0.1496
problem_solving,0.7368,0.6923,0.7692,0.0324,0.0769
content_generation,0.64,0.9167,0.8333,0.1933,-0.0833
other,0.5827,0.7965,0.8333,0.2507,0.0369
