intent,e1_precision,e1_recall,e1_f1,e2_precision,e2_recall,e2_f1,f1_diff
educational_explanation,0.9,0.75,0.8182,0.8182,0.75,0.7826,-0.0356
question_answering,0.625,0.5556,0.5882,0.4,0.4444,0.4211,-0.1672
code_generation,1.0,0.6429,0.7826,0.3889,0.5,0.4375,-0.3451
code_debugging,0.3333,0.3846,0.3571,0.5263,0.7692,0.625,0.2679
code_explanation,0.625,0.9091,0.7407,0.7,0.6364,0.6667,-0.0741
summarization,0.8333,0.8333,0.8333,0.75,0.5,0.6,-0.2333
translation,0.75,1.0,0.8571,0.8571,1.0,0.9231,0.0659
rewriting,0.5,0.7778,0.6087,0.8,0.8889,0.8421,0.2334
comparison,0.8125,0.9286,0.8667,0.8571,0.8571,0.8571,-0.0095
data_analysis,0.8889,0.7273,0.8,0.6875,1.0,0.8148,0.0148
creative_writing,0.8889,0.6667,0.7619,1.0,1.0,1.0,0.2381
classification,0.9167,1.0,0.9565,0.9,0.8182,0.8571,-0.0994
information_extraction,0.7692,1.0,0.8696,0.6,0.9,0.72,-0.1496
problem_solving,1.0,0.5833,0.7368,0.6429,0.75,0.6923,-0.0445
content_generation,0.5714,0.7273,0.64,0.8462,1.0,0.9167,0.2767
other,0.6167,0.5522,0.5827,0.9783,0.6716,0.7965,0.2138
